,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_imputer__strategy,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.02440814971923828,0.004500686870993324,0.004003000259399414,0.0012645940559381694,mean,0.0001,0.0001,"{'imputer__strategy': 'mean', 'model__alpha': 0.0001, 'model__l1_ratio': 0.0001}",-23.842656501251966,0.023022082634956864,-0.6827686467560408,-255.0140728375469,-16.932227016307973,-59.28974058384559,98.29694800603416,387
1,0.01905031204223633,0.0016761102877593213,0.002800607681274414,0.00040097513072013256,mean,0.0001,0.11120000000000001,"{'imputer__strategy': 'mean', 'model__alpha': 0.0001, 'model__l1_ratio': 0.11120000000000001}",-23.841288209464366,0.021845830966132684,-0.7043197065237528,-258.3610204418716,-16.92352049364927,-59.961660604108566,99.62803047800222,389
2,0.01808028221130371,0.00142707130831439,0.002999734878540039,2.551858551074915e-06,mean,0.0001,0.2223,"{'imputer__strategy': 'mean', 'model__alpha': 0.0001, 'model__l1_ratio': 0.2223}",-23.83562233992539,0.020338589494097947,-0.7285603076652816,-261.3654124222467,-16.915966661476535,-60.565044628363964,100.82268959978839,391
3,0.017311859130859374,0.0007518558738783802,0.0027991294860839843,0.00039964446211568865,mean,0.0001,0.33340000000000003,"{'imputer__strategy': 'mean', 'model__alpha': 0.0001, 'model__l1_ratio': 0.33340000000000003}",-23.824820021844292,0.01839804146065216,-0.7560351956857558,-264.348070704822,-16.90975555625526,-61.164056687429344,102.00865369447521,393
4,0.018310976028442384,0.001071772990243022,0.0031984329223632814,0.00040004706307719874,mean,0.0001,0.4445,"{'imputer__strategy': 'mean', 'model__alpha': 0.0001, 'model__l1_ratio': 0.4445}",-23.807676453464257,0.015894273370859024,-0.787406124012435,-267.5093111135689,-16.90462808525398,-61.79862550058575,103.26574759666791,394
5,0.019862937927246093,0.0012816855974666476,0.0033998489379882812,0.00048774663428237803,mean,0.0001,0.5556,"{'imputer__strategy': 'mean', 'model__alpha': 0.0001, 'model__l1_ratio': 0.5556}",-23.7825077971908,0.012647689806029039,-0.8235419796909704,-271.025808717718,-16.90086331994695,-62.504014824948136,104.66437300662125,396
6,0.019608163833618165,0.0007952400380190395,0.0030988216400146484,0.0001980963488779069,mean,0.0001,0.6667000000000001,"{'imputer__strategy': 'mean', 'model__alpha': 0.0001, 'model__l1_ratio': 0.6667000000000001}",-23.74696211439686,0.00814369352384714,-0.865593596356957,-275.0701421153185,-16.89869751411296,-63.31465032933228,106.27331918938387,397
7,0.020020675659179688,0.0013654960699805657,0.0033998966217041017,0.0004890728239507948,mean,0.0001,0.7778,"{'imputer__strategy': 'mean', 'model__alpha': 0.0001, 'model__l1_ratio': 0.7778}",-23.697727107044724,0.0024968508677027934,-0.9117776881185196,-279.88900590882406,-16.898293265999133,-64.27886142382376,108.19146124259952,398
8,0.019309377670288085,0.0021016346323561716,0.0028005599975585937,0.0004007105704764649,mean,0.0001,0.8889,"{'imputer__strategy': 'mean', 'model__alpha': 0.0001, 'model__l1_ratio': 0.8889}",-23.62989313562584,-0.005064691398042109,-0.9624265634095492,-285.81138373112543,-16.89999392682099,-65.46175240967597,110.55030516687032,399
9,0.025323152542114258,0.0045506459928118664,0.0043677806854248045,0.0017091529453855288,mean,0.0001,1.0,"{'imputer__strategy': 'mean', 'model__alpha': 0.0001, 'model__l1_ratio': 1.0}",-23.535974429291254,-0.015224849444236632,-1.0174908570628798,-293.3732555029948,-16.90437205540256,-66.96926353883916,113.56424715210065,400
10,0.019816207885742187,0.002161676479621562,0.0034011363983154296,0.0004905844177591715,mean,0.5264105263157894,0.0001,"{'imputer__strategy': 'mean', 'model__alpha': 0.5264105263157894, 'model__l1_ratio': 0.0001}",-14.795980768462595,0.4319877289883075,-0.24584840069879443,-4.557119711851715,-1.6682264583206234,-4.1670375220690845,5.58385910938963,220
11,0.015601062774658203,0.0007951025423207057,0.0031099319458007812,0.0006688705485437281,mean,0.5264105263157894,0.11120000000000001,"{'imputer__strategy': 'mean', 'model__alpha': 0.5264105263157894, 'model__l1_ratio': 0.11120000000000001}",-16.8820756800804,0.4666189741370441,-0.28576020049073625,-1.7788778056945982,-1.190459063151894,-3.9341107550561167,6.519192178338718,196
12,0.016603422164916993,0.0010144934993551488,0.0034866809844970705,0.0006052898161928908,mean,0.5264105263157894,0.2223,"{'imputer__strategy': 'mean', 'model__alpha': 0.5264105263157894, 'model__l1_ratio': 0.2223}",-20.361741478416935,0.42633291106249216,-0.2625458622462069,-0.8168332146550279,-1.13065439181105,-4.429088407213345,7.983892301057791,246
13,0.01730656623840332,0.0010787659348070714,0.0031983375549316405,0.00039914227903599446,mean,0.5264105263157894,0.33340000000000003,"{'imputer__strategy': 'mean', 'model__alpha': 0.5264105263157894, 'model__l1_ratio': 0.33340000000000003}",-21.358327591044368,0.3831895972760704,-0.23208981707686394,-0.1953420824913652,-1.1034832956023566,-4.501210637787777,8.441921645232378,257
14,0.014623928070068359,0.0028848801147433128,0.0032071590423583983,0.00040203971253283593,mean,0.5264105263157894,0.4445,"{'imputer__strategy': 'mean', 'model__alpha': 0.5264105263157894, 'model__l1_ratio': 0.4445}",-20.45146036495286,0.3262198183768512,-0.21007609893590562,-0.05849563212018083,-1.037781691940455,-4.286318793914511,8.0948199604471,234
